Accession,Description,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundance: F13: Sample,Abundance: F14: Sample,Abundance: F15: Sample,Abundance: F18: Sample,Abundance: F19: Sample,Abundance: F20: Sample,Abundance: F21: Sample,Abundance: F22: Sample,Abundance: F23: Sample,Abundance: F26: Sample,Abundance: F27: Sample,Abundance: F28: Sample,Abundance: F29: Sample,Abundance: F30: Sample,Abundance: F31: Sample,Abundance: F34: Sample,Abundance: F35: Sample,Abundance: F36: Sample,Abundance: F37: Sample,Abundance: F38: Sample,Abundance: F39: Sample,Abundance: F42: Sample,Abundance: F43: Sample,Abundance: F44: Sample,Abundance: F45: Sample,Abundance: F46: Sample,Abundance: F47: Sample,Abundance: F50: Sample,Abundance: F51: Sample,Abundance: F52: Sample,Abundance: F53: Sample,Abundance: F54: Sample,Abundance: F55: Sample,Abundance: F58: Sample,Abundance: F59: Sample,Abundance: F60: Sample,Abundance: F61: Sample,Abundance: F62: Sample,Abundance: F63: Sample,Abundance: F66: Sample,Abundance: F67: Sample,Abundance: F68: Sample,Abundance: F69: Sample,Abundance: F70: Sample,Abundance: F71: Sample,Abundance: F74: Sample,Abundance: F75: Sample,Abundance: F76: Sample,Abundance: F77: Sample,Abundance: F78: Sample,Abundance: F79: Sample,Abundance: F82: Sample,Abundance: F83: Sample,Abundance: F84: Sample,Abundance: F85: Sample,Abundance: F86: Sample,Abundance: F87: Sample,Abundance: F90: Sample,Abundance: F91: Sample,Abundance: F92: Sample,Abundance: F93: Sample,Abundance: F94: Sample,Abundance: F96: Sample
P10768,S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2,5139.095459,5468.578857,7225.643066,5962.369629,3486.387939,13245.44507,3368.776611,8889.416016,2656.375244,10119.78296,6403.627441,13907.61084,18306.41797,9413.894775,2763.724609,25758.37061,4977.706055,11827.25818,,16769.63477,5903.189209,5363.78418,9516.226074,2875.85498,9158.015869,13323.50244,17912.24561,4718.708984,3462.778076,8244.490234,4525.184937,9782.165283,1580.124207,,5406.547302,9295.668701,10543.95117,7902.396851,379.3790894,10251.88721,5918.656494,11292.54956,3746.71167,10087.14502,9277.177979,11822.87817,7595.435791,10746.44971,7907.144531,10680.10938,5772.407959,9200.458252,12091.79883,9618.919922,7019.295898,18877.87793,9706.623291,2816.705566,14900.41748,8198.444092,11425.98047,9627.370117,6824.25415,10133.23999,8662.718994,10188.94336,8064.606079,5600.112305,4314.118652,2829.305664,5995.037842,4321.536133
O95861,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1",9139.495239,13130.97321,6899.518921,6299.161499,9057.167236,5401.001099,3975.017944,17225.62354,5732.502197,4978.499695,10326.8905,11664.40735,4749.914185,11411.90405,4860.807861,22632.83032,24511.08276,7721.797485,6253.112305,18743.49268,11362.53406,15120.28186,19346.86133,9673.974976,11342.9978,10872.41895,8407.319824,8318.703857,7962.678345,15628.91223,4451.362549,15044.86975,2832.397095,1767.744873,7902.286865,5433.878906,10318.20752,13059.85156,5659.828369,14565.02856,16693.19141,8447.389526,7572.213867,7507.1875,10488.31323,7141.68457,5702.462036,10334.52246,14489.97754,9076.066406,6337.400574,22747.21753,21329.12744,16326.14807,3682.453003,8439.518555,14512.72681,6803.898926,5034.572266,4612.764038,14309.50928,8261.064575,8584.172119,20268.70129,11421.81299,20267.2395,5125.328003,1894.179932,5151.133545,4038.310547,4346.160156,17791.85498
Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,12266.27173,14625.02478,13285.36646,5488.483643,13371.13477,17395.68188,10853.77246,21202.92651,7231.576416,5987.752686,12005.91675,16093.83374,27425.27979,14258.38696,6838.379028,33217.87183,27059.83838,10212.38477,11345.14807,19297.21362,18191.40283,17889.63721,15088.31396,15140.89453,22252.86108,20912.23657,20040.15918,10456.21777,9960.023071,16757.40942,25053.60352,16163.77808,4151.729523,1184.824799,15515.89185,10355.21655,13391.90015,12026.26978,10428.62732,15510.35034,14687.41077,20026.22168,17850.6322,12516.64185,15354.56616,12862.76318,15197.68872,24756.53394,13194.79834,19777.09399,9701.832031,25080.48584,23629.89502,13739.39697,10414.6377,21416.39453,18034.85693,12592.86902,16090.49756,11516.28076,11836.3728,16691.7207,12624.20764,12715.89502,15484.78149,19467.61426,12439.27209,5790.170166,8118.23291,10163.6814,5416.403809,18429.8833
P07108,Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2,6192.245605,15567.84546,9309.446289,8161.295654,7792.575439,11195.34753,11543.0188,15626.67664,4360.071594,8899.963257,12761.85718,12367.52863,,20276.01172,7576.666016,48088.39355,24878.04736,13184.66846,12366.03101,13571.97705,11260.19385,18115.9043,15733.79346,12199.72534,22640.24976,12438.57959,20440.37769,15178.89441,7408.686157,15462.38574,10729.65918,20152.41162,4036.382935,3566.303467,16348.05334,10697.46851,9550.121582,18279.51001,13787.51514,14257.92383,12795.50488,11729.31787,11480.42871,15280.92847,20463.7832,14680.25415,5734.225342,23395.5379,10266.5365,16676.50049,9781.056641,19549.81348,24426.78674,23922.1521,11607.15906,24638.48267,18500.40442,9373.591553,20412.63647,13632.89465,13632.27283,16397.01758,11737.2157,25444.30713,19175.2373,28271.10278,5053.682739,14983.84082,4242.462891,9930.363647,9956.135376,20147.60547
Q12874,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,6968.936218,10964.3472,10562.70575,5285.154175,7786.103455,3359.962585,6680.063477,15511.50977,11414.56213,6222.234131,13786.52515,13996.59387,24736.04407,14153.27673,2225.661621,22714.20532,26775.28809,14418.81494,10199.21436,17099.1947,16286.28479,16200.29187,12414.89807,9770.553467,22723.82349,20283.06934,96458.36694,13219.60352,9902.24292,14688.33008,17564.90674,15688.61267,4093.560638,6993.72403,29019.95508,11950.61963,14341.91931,10905.56274,12126.22754,20204.98242,16776.01025,19448.31128,13636.15405,12518.8335,16297.64111,11670.59546,20026.36401,20375.85205,13306.66772,14633.98865,7886.835388,17409.32721,17895.49072,19277.401,6482.498596,10058.67151,11805.2843,7938.590088,8783.848572,10514.9928,13838.4696,11207.57965,9290.608887,14055.38293,13639.26746,26997.02673,9806.580322,7054.388672,11088.01282,6807.94519,7292.093506,18155.1311
Q9HAV7,"GrpE protein homolog 1, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL1 PE=1 SV=2",12707.91553,14473.11926,27160.74341,15323.76953,20951.44299,24539.95081,19322.047,30226.17004,21159.30103,11534.73132,32798.1084,22263.34888,33547.90479,29918.54956,11718.62555,46591.22241,42211.76172,16714.15625,15344.62061,25335.92065,19306.41113,26727.97449,22538.52002,20730.05127,33450.96338,24928.28554,26322.37866,17226.07239,15868.58765,24406.2854,36658.58325,26852.68091,8555.54126,3688.175018,21356.36792,17161.22437,16583.18042,14212.70984,18384.69885,25210.38306,29825.677,33893.58118,23937.69849,23460.23584,30309.17139,16535.67102,26423.18054,45301.86572,24975.479,31979.99243,13611.3103,29099.27222,45198.74756,30038.15918,16499.94519,27637.02905,25505.72656,15280.09753,26048.37964,14946.6925,15790.64844,21824.31958,15471.94189,19085.48242,18653.43066,40000.35791,14950.32477,9303.751648,18511.52655,11615.68408,12139.42828,26157.10352
P46779,60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3,48233.39819,56399.46075,63237.85638,46862.02173,58612.75745,61275.58887,45020.03009,63863.49255,33416.084,40399.41223,66731.11316,100081.7468,130214.0201,68648.13422,37658.9436,121959.5317,115046.6401,56475.81665,54469.00342,84711.25592,66488.0498,74483.63849,59710.49747,61103.52527,108801.399,88862.93774,95737.98071,48611.12866,64589.88638,68599.58667,85632.65723,58388.54517,17749.61118,12264.91992,81593.92145,48025.9787,70906.00531,52453.24884,63983.15332,69482.96545,61109.57385,99005.84796,73350.53027,63363.60114,102068.6919,59133.5249,53073.87537,115248.8159,98894.61133,73992.8363,39323.73254,100990.4805,116407.7314,59782.04883,39793.10107,117216.542,75560.93616,54469.70628,78428.76025,50520.92529,78180.44583,78777.79004,62890.83911,78202.51233,83794.3584,149670.1152,67071.10507,59023.98071,38775.79681,43273.32959,29609.29919,88143.56934
Q16629,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,11485.41016,23866.9621,29735.02441,10583.11115,14943.87964,19813.09259,15038.00415,23216.6084,23041.55798,17668.07416,28178.84326,22398.84436,38941.24561,23387.32813,13096.74402,40738.09351,25417.20117,23230.29346,12014.99097,18345.40747,23042.7168,19441.63977,26088.66406,24761.19971,19540.86359,33445.51807,28244.13013,24172.32275,19223.10376,13916.69019,42489.18604,28257.8103,6533.004639,6168.206787,37340.31982,7094.32251,16623.44092,26962.63721,21219.45264,36949.104,26578.77515,42894.80469,18249.29395,15007.87036,33745.94434,20621.37231,35111.32959,23211.67676,19874.72729,30001.89697,15626.87573,42794.42236,28086.45776,38004.38184,15430.98694,36980.4502,27794.82544,40233.2207,24466.47852,22346.62695,19204.77734,23950.94653,20488.25977,29790.80786,18973.92188,50352.07568,12095.08167,20868.62769,16698.96338,18749.07349,9690.147705,36120.2998
P50502,Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2,17037.60968,25858.62033,19684.14526,14412.83716,21615.22607,18531.97772,13906.61975,39123.3949,13793.5119,12781.6554,18037.08304,21276.11633,33725.68872,21653.26105,9489.274841,43263.26001,34464.24304,17349.83105,16349.98865,33885.33124,26198.37665,30948.17938,23616.4165,15749.30609,16443.52356,29526.75708,23499.11072,22587.83221,14247.6564,24122.64246,27513.82556,22261.63141,7470.28772,4699.693848,15465.79202,15037.31732,22694.40118,18786.95551,19336.04419,19067.95569,23795.03223,27510.60864,21401.05188,20886.05994,23809.13782,12237.59515,14520.47632,23697.05676,16683.55438,25921.18481,15677.078,20795.84924,36524.17236,25773.23535,10572.93158,23500.46802,18776.58453,11856.96576,18383.23175,19798.02649,22425.06299,14929.25391,14889.70557,18084.13867,15130.08447,27435.00238,10160.73004,10244.06146,10930.45361,7793.585938,9543.96698,17852.45374
O00425,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,10540.94019,9473.374023,15426.88599,8940.310303,17625.7511,11985.97046,9127.357788,17567.74438,11867.68994,5063.110474,10679.96216,11002.02759,16198.78833,16730.04907,6744.157715,17062.56763,19061.11621,20768.38892,11547.68579,14036.63037,15436.95142,15573.92529,24861.42773,14356.06567,19443.80347,17074.99072,19090.96533,8216.565674,7013.199707,15323.64136,16277.81616,11979.10132,3453.194519,2752.808533,17742.59766,11439.6134,19899.64648,18796.23389,14519.7041,15724.57861,14065.6084,14496.17041,14711.98608,15708.22021,21202.79761,9818.772217,14822.18579,23857.13232,14038.59888,20497.41333,11573.95361,14859.83325,23605.23389,21611.91846,9678.563599,17417.93091,15436.95679,13389.97461,8836.812744,15085.97168,17219.54321,11583.94775,12154.927,17163.65771,21115.89307,27975.36768,10595.70398,9025.215088,8070.523804,11505.52393,8616.079346,15200.89307
P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,7817.031006,3509.410339,4004.494385,,3063.477417,,477.9518433,12304.6416,2791.080933,,5217.966309,,443.0629578,,1655.403809,32949.88867,791.5010986,4109.381836,,8861.521484,841.9105225,292.3565674,282.4724426,513.5310669,1084.183105,2810.594971,1859.02124,8869.491699,6287.704834,1795.586731,11071.16699,4219.024902,,857.4245605,,,12086.02588,1019.760559,5599.803711,3247.255859,4673.602783,3561.324951,1440.277832,,1027.637451,6011.25293,,,1232.378052,6179.244141,,2237.499634,16826.18848,8885.17749,6896.90332,2601.888184,,,,4109.623047,10013.47363,,2023.973389,,,8454.258789,,,699.7131958,921.8648682,16596.40967,14688.13623
O75947,"ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3",9970.742432,14607.11401,24670.78937,11985.2999,24103.04919,17335.78113,16078.17639,24797.91168,7664.964539,10908.29688,15771.75952,18430.55908,27403.58875,28754.31207,11358.95508,55671.51007,47633.44635,22159.64462,25301.72729,30102.97418,19772.8299,24665.22205,22152.94141,15736.24408,30299.62646,24825.19421,26484.18439,38817.57764,25266.47266,27223.8219,33943.28296,23952.16699,8208.101868,2424.810211,31642.45361,20665.34045,32472.27246,15531.64014,31132.48389,15999.97363,22292.8078,34704.84961,23849.24451,21162.85895,32306.6438,14217.64679,25478.85815,46992.69897,27002.73016,23156.58752,13773.52354,34462.31274,41020.24426,25217.50305,19428.073,31579.00098,24442.64526,13334.44598,21280.90167,17383.94501,21822.36646,16286.58032,16729.99756,24733.81958,19900.43555,33037.04369,14777.56506,11020.48328,15246.44275,10738.68469,16191.52478,26874.34607
P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1",7534.554932,6409.021362,10768.62268,8438.664429,15131.52087,10894.06787,5356.606323,17183.95764,9572.181885,6994.811157,7197.376953,12228.39893,6256.543579,9407.106934,6066.69928,17555.43579,18965.43823,8444.508179,3300.193726,15958.6059,10881.17993,10268.45258,13125.68372,8683.680542,7944.204224,9282.426392,12427.36127,12710.43512,6570.555054,8158.169067,15196.26935,12140.38928,4109.523315,1720.25296,18097.28156,8270.519897,11307.85797,9574.387085,24174.64172,12346.8092,16879.81653,18157.98322,7244.624512,7242.82019,9010.872009,15338.8938,16402.2348,21014.65967,8196.737915,12334.1615,6328.599243,11382.4314,11694.76886,15324.31458,8715.269897,15355.85706,7663.740967,14299.23315,7347.585693,8323.444092,11532.42944,7405.349976,11125.57465,14055.22595,12017.98767,23567.79114,5505.420593,5115.355103,6940.501831,6789.661743,7133.206116,19339.84082
O60763,General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2,7546.480804,9635.599304,16615.59827,11852.9848,10398.29779,7701.046509,12735.14014,11887.54041,13236.32458,7888.440063,9458.216797,13179.94946,20762.47046,12693.6637,3485.263855,23317.0188,10920.95142,14537.01721,6586.870239,12949.22455,11883.15869,13457.89429,12546.19299,10587.67749,23053.93042,13803.00916,18702.42017,12472.56989,6324.642334,15302.65869,14323.33337,14973.14978,3937.502045,2476.036804,14351.02771,7915.531128,9315.433838,10304.51477,13372.34268,12160.2439,16771.02649,13151.73035,14522.04321,13447.3175,17009.77698,4588.031128,11114.14987,23826.01831,16802.07166,14122.08948,8049.242554,18635.42822,19103.54712,14810.50183,12609.98657,19070.77881,19221.63257,14823.71436,11715.72546,14687.25806,13462.51294,12112.48132,10791.31287,17788.46753,19080.25256,37761.32861,7400.121338,11557.0517,7132.353943,9541.320435,7833.305542,12385.32019
Q96DG6,Carboxymethylenebutenolidase homolog OS=Homo sapiens OX=9606 GN=CMBL PE=1 SV=1,18601.71021,24338.71655,36145.61557,22055.23682,26512.17462,41280.00488,26801.88184,55644.87305,19727.91821,18430.57251,42835.55615,67646.07324,16616.04434,41660.3042,14571.16821,74410.88104,98485.43848,31537.39894,36369.82959,39033.04297,17894.72383,65841.09216,48959.16577,32649.58447,50330.02539,48657.61487,36248.58301,19420.95529,9716.358521,29935.77368,34225.62402,41074.95264,13038.6283,449.4234314,35037.99414,24641.58203,21775.36206,37823.0625,34199.08838,37302.6134,56287.93665,41002.42706,45311.40399,34728.45801,35099.90039,18394.3956,26859.34863,88243.0332,53079.07715,37936.7356,28399.78906,65553.23535,94720.94788,64745.94531,27212.93359,23805.06494,47539.28857,19297.54541,50480.06396,31223.84033,31205.81738,42081.66553,26282.77515,45221.04639,32531.29068,78479.01172,34495.29736,33081.71875,33149.66943,39722.20068,33237.90918,44113.59375
Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",7421.917603,3098.200439,12672.85767,8424.732422,7976.085083,9643.820679,4009.114136,20368.37866,13170.50537,5903.637695,10203.5647,9642.381348,11089.02563,5817.370605,1845.816711,15050.58398,18145.93774,6358.121704,3790.267029,12478.95337,12102.69409,7550.910767,5750.540771,8599.695557,11465.25879,10470.10547,10410.64539,7056.291016,6540.908081,10939.1582,13151.23315,7884.629883,2635.716797,1215.723267,11763.01685,4786.22937,8177.52417,6095.108521,9759.37207,12100.87878,14259.71069,20191.27124,11572.38416,5489.516968,17411.5957,8094.535156,13085.91577,16938.37964,10401.66943,11330.86987,10892.16101,12699.81348,15766.52344,10124.18311,5194.473022,15980.9353,13988.13159,3255.481445,8000.75647,8031.592285,7991.114746,13452.76685,7409.056396,15047.58667,10981.31458,19455.51685,4006.726929,2638.797241,5753.550171,3369.241272,2430.38855,13052.2229
Q86UX7,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1,690.2828979,2005.964844,4820.553589,2911.246765,10794.40753,12644.92603,10243.73328,3934.576233,8265.789795,2517.873077,,18918.42676,17180.84302,4837.596191,1128.383545,44841.90186,8721.860718,9307.421631,3856.531616,10879.04797,16640.81677,1611.661499,15009.67053,3368.307983,10676.12488,10813.27673,12782.37537,7337.294922,3462.939453,2237.675034,5213.907471,3353.175049,1602.419312,1734.528717,6094.831177,3627.059204,10448.67163,11067.49457,1113.897461,7937.752747,6649.835266,10258.0321,8206.666748,5630.209717,18063.03262,7199.937622,6915.722931,6058.834564,11133.21216,5347.211914,7632.126709,12058.35474,16757.91235,18884.03491,4659.764893,11109.77069,939.1046753,5245.525757,7778.651917,1861.489594,1240.42041,4505.219604,4656.939453,7869.566895,8306.754272,2517.25412,10041.6434,10053.08356,3961.440796,8776.941284,19164.27374,19519.93176
P20073,Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3,17755.03467,19147.14148,18600.55151,11501.72534,21512.95624,23391.19989,13813.77881,37124.95898,14087.93738,11799.98877,17618.44238,19308.74268,12071.65158,26304.53265,9611.617676,58871.27783,41587.03609,23568.15991,6622.332764,25792.72827,22840.95947,24092.54053,24223.95709,18937.63623,30720.85669,23018.073,29930.57764,36525.96143,22145.39087,32694.09152,32465.03125,27496.14575,6784.961487,4870.304321,36140.81616,12775.30273,18810.34259,22314.32495,21191.0459,26971.61719,35573.25439,27442.05933,26240.36182,22335.67719,29421.34985,21569.82544,20233.77856,36670.65265,29966.37476,25558.85358,22970.33032,33361.80273,43997.48828,56691.98975,22125.21094,32123.87939,24316.354,18462.61646,23237.83667,22192.52441,35219.5065,30735.43994,17812.71582,23730.2627,30438.60571,51009.5278,12935.94702,14998.80737,18020.11719,16669.20639,11138.35852,28288.97607
Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,15407.70654,30546.28058,17631.52417,10215.90002,23666.40869,23889.54865,17154.19574,44714.79785,10845.96509,17353.30005,27441.13721,30872.72522,35017.95825,35353.60382,11371.0365,63598.04663,48274.40112,28258.03931,16140.38965,37171.86755,24674.00281,39906.62134,26347.19214,23949.73181,38915.19788,37077.3501,35763.02545,33374.80969,26716.60449,23587.64746,33715.56396,27136.95087,11856.93414,4759.935577,32263.46362,16739.12427,29549.65881,29615.47607,18287.01776,30265.52393,42816.56934,36190.0166,22811.37866,23457.32141,25942.99329,21337.19482,23210.55438,32455.26416,32436.55347,42527.56799,16197.90918,44216.35339,49335.66492,42602.69751,18851.76489,35325.9375,28400.52911,20168.17078,23338.99152,16869.97009,33821.0766,27517.70178,18586.14758,32205.02258,25798.71301,64384.95789,16818.06635,19194.14838,21439.27344,13856.32568,12494.94373,39084.85791
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,21469.3877,14958.90479,23700.58667,17831.70218,21813.45947,22774.36414,15331.51514,32218.52148,17224.24976,16471.67706,18218.51535,21990.08423,49566.76001,25042.13257,13624.53406,45669.82324,34482.91235,24964.94958,22361.72327,32986.12769,24933.57617,33189.7876,21031.53882,24525.677,42098.66821,41919.94186,34383.78662,31335.91284,22088.40417,39133.06055,33726.54419,30919.8511,10280.65216,4184.674377,27541.08301,24226.86548,23123.74194,17937.65063,21756.76672,26359.68964,26269.87939,35714.63559,26877.87613,30250.27905,31720.02954,21496.10205,24772.96948,42828.09619,23708.93579,29507.41553,19875.29004,31612.54443,40054.38544,28286.3125,14750.28357,29589.17993,27360.52979,21477.48828,25890.19751,20103.76599,23291.2644,22427.81677,21030.57275,22017.78101,27313.77466,37612.87894,20943.43896,13341.25842,15745.75024,13151.6524,14568.90723,31784.01392
P28838,Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,17899.0155,13174.26978,16162.33582,12792.22595,15198.04578,16259.2572,9940.468506,26616.05151,13192.05786,10560.96057,19212.96045,18588.771,21026.29761,17686.58325,8503.837402,49362.73682,30648.95654,13589.58765,18689.86145,25013.72485,24030.95117,25142.19824,21621.47974,12570.7168,35123.81812,26812.47974,25319.89111,10676.92114,15788.44006,19955.29968,32131.98999,19496.08838,3829.362579,3428.878815,21797.36133,18566.50403,19234.41931,16410.61755,14953.31921,19122.77722,17009.69055,25655.90125,16763.25598,20338.94067,27049.22388,15958.34302,19151.63159,26778.80078,22571.1167,23675.60254,13471.78113,26373.19824,38187.29517,22562.07227,17871.52612,22854.32544,14574.02612,18470.39648,18797.38037,16774.37659,18277.69104,19229.87634,16516.21558,10277.31543,20594.10889,36054.71802,19378.12744,13292.01917,13030.42566,9993.993896,12091.95386,21518.39526
P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,19848.55408,17040.99536,28199.53638,12390.27917,21342.22784,23936.07327,18423.78787,34029.3869,15680.78278,21493.69092,25879.45898,13144.55847,41801.31006,31085.2381,14100.94586,38680.91943,44054.18115,23289.58667,25520.79266,35421.65237,31200.56061,35418.15271,23031.15796,22865.73828,38781.11969,33615.64685,35631.99185,22938.12646,24321.56512,16686.44611,41446.38513,29699.03204,6378.459412,2143.561951,33301.71829,18362.02258,29233.36551,29213.13098,24896.57458,34490.17139,26784.51849,33942.24481,28617.55481,22706.20074,37368.53125,23883.49875,35568.52643,41345.4491,35001.18665,33810.35162,17777.77124,44895.67035,33700.11267,35778.54297,19393.11832,32877.25745,27747.30688,25128.45715,32121.5036,28999.79358,26802.67242,29767.90552,16668.90051,30479.3316,18995.4834,53647.36664,16579.28345,15997.97797,17890.53754,19811.23993,12478.26587,39610.18262
P46783,40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,31376.46924,33555.45605,53698.47986,28894.41412,39974.34412,45943.7489,55682.26349,57563.26324,30699.93369,24844.46594,46047.44073,55601.70901,72451.68524,62822.2937,21594.61206,107071.5902,59000.91162,52487.39752,66548.22974,60936.91382,56780.27991,54300.72876,52463.29346,63970.95795,57829.29517,72954.94116,65367.80542,30744.42227,34236.86069,76901.96118,65757.56854,62015.38672,6854.938721,6039.248047,59632.33783,22563.74207,46417.47754,54680.40845,61072.13733,48316.18835,50207.44162,56447.71204,55221.36035,75976.56555,73954.1239,45848.06567,47571.93158,97256.31555,47210.05261,57330.3949,55208.7782,69276.2334,86105.72925,60129.20969,18354.56555,68944.75342,55148.72754,54973.59167,58581.97546,33962.89246,31266.4877,50195.75317,31016.89728,55235.76984,44903.66211,77002.52344,20262.15155,22152.43243,18640.90524,53697.22443,43136.41956,41316.7937
P47756,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4,16959.39136,19497.29755,21829.47998,19302.26141,29969.42249,27789.04333,25257.50934,37968.74896,22711.80504,24656.51306,24019.42105,36766.02844,36747.76135,26628.15198,14565.99829,49177.06519,40725.30286,32367.72229,18447.57111,22464.28076,21330.29218,37973.96692,42806.45546,29893.33521,32643.9729,44884.50757,41757.03253,37441.76184,22573.53784,31386.51013,45015.22351,34607.92505,10770.73355,8406.14624,39430.54211,12547.13208,32646.78174,25154.84531,40606.72083,29768.72485,40838.03223,35036.08148,33808.32642,21807.68085,32959.75732,24486.07611,27237.93005,55455.38696,26848.93594,27512.20923,24223.3129,43737.77539,50984.37262,41876.77246,17843.81763,38563.53156,24877.85071,18420.51941,38698.52319,37412.97369,24418.68991,31984.38782,26163.63568,20304.2428,24635.2627,49565.86401,15013.04712,22356.9223,19235.93988,17933.15613,15513.24548,41795.86169
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,14040.43134,13590.15869,12015.92114,9016.036011,12496.35193,13908.35913,6786.887817,14059.97363,9590.799316,6995.109985,13274.50964,19779.73975,25236.62451,17639.90845,6441.807922,35185.31299,24720.7041,15582.50031,15319.93872,22308.54199,16549.854,23725.49707,13145.43823,18026.49072,26024.95349,27287.73315,17530.76501,18255.07214,13677.552,21367.82556,19278.86157,13715.70667,5039.80957,1337.429199,19765.60974,13075.02722,20822.39502,13472.24841,11697.63379,13803.00641,23029.58228,13451.60449,10759.98901,14590.98804,19359.77808,14307.80542,7881.215698,16134.43481,20983.17517,23303.66992,11887.42682,16864.34961,24965.26331,16459.20947,13028.27319,22201.38159,22509.27039,13879.20166,25235.58569,15838.12329,17360.01086,15773.69006,12358.75159,11397.82202,18105.33667,17270.2168,16724.20789,15301.4978,7545.864441,2669.037598,7402.47168,19160.20642
P68400,Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1,5423.04425,12838.88428,7282.361816,4975.846436,3222.959229,3355.643066,6297.784698,9801.583557,7910.726563,5161.331909,8669.106689,12207.18945,21403.63086,9650.17688,5388.672241,25708.78271,17088.28198,8938.381104,9434.740356,13786.22479,15928.97644,8731.920898,11632.33008,7164.354492,14872.0459,16228.07031,13346.22058,12015.08765,9885.742615,8334.43457,19928.36572,6288.588867,1768.669006,607.2728882,12786.70038,5589.572754,8024.427856,7660.871033,6985.292114,10317.13171,12457.96021,11885.50232,7409.096558,6055.6073,9335.140991,4409.576782,14213.58264,13136.34192,6838.768677,16398.08789,3730.413269,12801.58459,10995.8042,14616.04541,5508.161499,15692.3584,5792.491211,7315.109741,8095.426392,8516.164185,5875.61145,5901.533447,6508.912842,8503.706177,6754.812988,17208.1687,7681.66748,2132.629272,4988.451904,2357.550781,4064.34314,12372.20813
Q96HS1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2",12646.50122,15088.82715,21444.2373,9265.816284,16928.9762,14975.68201,13850.21509,18382.74829,15796.09106,10900.38019,9479.809509,15527.38562,29538.07806,19689.26807,8465.24884,36849.59779,32490.70801,6779.156006,5574.063354,15080.02563,19859.48267,18242.64136,16665.8562,13810.88965,20819.00757,23610.51538,24142.80347,16735.81702,10067.50146,19884.91772,31445.52319,10927.0592,5063.124146,2753.763321,18303.88757,13219.61328,12122.51807,12213.46887,7873.096222,19369.2821,21338.42255,28700.36523,12355.72607,12587.36255,21410.24878,10404.70801,20897.90625,26808.50903,16232.32507,20879.91748,7647.158936,24716.30786,32723.24268,16289.16919,12660.96069,20396.75342,12275.28931,12670.61548,20198.03418,3138.108643,16013.81104,11364.69247,11771.34375,16785.32202,17165.7334,20219.96924,9012.270508,6296.135498,16180.36536,7751.887177,6686.324829,21562.41797
